Model,CV Macro F1,CV Std,Test Macro F1,Test Acc,AUC-ROC
DistilBERT (Optuna),0.7471,0.0066,0.7673,0.7675,0.9089
DistilBERT (improved),0.7462,0.0031,0.7531,0.7521,0.9043
